"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*0390d*","Patrick Christopher","UTA","SG,G,Flx","675","FA","33","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04hot*","Gian Clavell","DAL","PG,G,Flx","678","FA","28","CHA<br/>Mon 8:30PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*01eod*","Victor Claver","DEN","SG,G,SF,F,Flx","679","FA","33","WAS<br/>Mon 9:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*027pd*","Norris Cole","(N/A)","PG,SG,G,Flx","683","FA","33","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xac*","Matt Coleman","(N/A)","PG,G,Flx","684","FA","23","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04xhu*","Bonzie Colson","(N/A)","SF,F,Flx","688","FA","25","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*00523*","Will Conroy","MIN","PG,SG,G,Flx","689","FA","39","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0484m*","Elgin Cook","GS","SF,F,Flx","690","FA","28","@IND<br/>Mon 7:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*048zr*","Derek Cooke Jr.","PHO","PF,F,Flx","693","FA","30","@LAC<br/>Mon 10:30PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04is9*","Charles Cooke","MIA","SG,G,Flx","694","FA","27","@CLE<br/>Mon 7:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
